r,GT_mean,GT_sd,Gen_mean,Gen_sd,AbsDiff_mean_curves
58,0.5383834672378907,0.0265462883318985,0.07152000725269318,0.009400666296834937,0.46686345998519746
59,0.5383816552750854,0.02658293580286135,0.07152821044127144,0.009402403857694967,0.46685344483381397
60,0.5383866467041732,0.026617737760551638,0.07153892517089842,0.009402972572221838,0.4668477215332748
61,0.538398138442893,0.026651389111808945,0.07154990136623385,0.009400854224519393,0.4668482370766591
62,0.5384147554452036,0.026682597267633165,0.0715582501888275,0.00939603789728663,0.46685650525637606
63,0.538436991657004,0.026712462839267724,0.07156194150447845,0.00938859927935085,0.4668750501525255
64,0.5384645030638316,0.026739982593771392,0.07155768851439159,0.00937838275256979,0.46690681454944005
65,0.5384951361719474,0.02676479593283884,0.07154403507709502,0.009366937123168452,0.46695110109485244
66,0.5385296829504731,0.02678678826583679,0.07152270416418709,0.00935562692581146,0.467006978786286
67,0.5385645720877767,0.026806046479692106,0.07149544815222418,0.009345378423707312,0.46706912393555255
68,0.5385989698546907,0.026821970021161327,0.07146539787451428,0.0093359478487653,0.4671335719801764
69,0.5386315169341772,0.02683562967807173,0.07143506189187368,0.009327351040814613,0.46719645504230356
70,0.5386612223070344,0.02684644332774862,0.07140666743119557,0.00931940262651969,0.46725455487583883
71,0.5386873342004821,0.026854457303276305,0.07138072073459627,0.00931203664762058,0.4673066134658858
72,0.5387091171226385,0.026860098833153025,0.07135852893193564,0.009304294614620534,0.46735058819070285
73,0.5387253288501576,0.02686410835085338,0.07133985579013824,0.009295864222348817,0.4673854730600193
74,0.5387364441965828,0.02686704252791711,0.07132580002148947,0.009288446646205642,0.46741064417509337
75,0.5387439297305214,0.02686894356150942,0.07131570180257164,0.009281143868688961,0.4674282279279498
76,0.538747864556901,0.02687045661955334,0.07130802154541013,0.00927413219007913,0.4674398430114909
77,0.5387504390544364,0.0268703737269704,0.07130206147829692,0.009266329434290534,0.4674483775761395
78,0.5387511207365693,0.026868620391313186,0.0712951914469401,0.009257210673824252,0.4674559292896292
79,0.5387491469765889,0.026866845710238993,0.07128795822461446,0.009247042722581818,0.46746118875197445
80,0.5387456163212104,0.026866386438612975,0.07127925535043081,0.009236558028197686,0.46746636097077965
81,0.5387412374034342,0.026867412185930216,0.07126864572366079,0.009226951036065075,0.4674725916797734
82,0.5387355131499564,0.026869713553910768,0.07125668088595073,0.009218219863551534,0.46747883226400566
83,0.5387268983471544,0.0268728704095806,0.07124428451061247,0.009210670742092732,0.4674826138365419
84,0.5387143333568987,0.02687498725805823,0.07123299400011698,0.009206012447069457,0.4674813393567817
85,0.5386974521809156,0.026875405117018795,0.07122546573479971,0.009204222571069095,0.4674719864461159
86,0.5386761436123902,0.02687593875377758,0.07122241556644437,0.009206192514652885,0.46745372804594587
87,0.5386521630449059,0.026876614881313095,0.07122539420922597,0.009210575331575531,0.46742676883567996
88,0.5386258251505132,0.026877284220877592,0.07123532076676688,0.009216072221987351,0.4673905043837463
89,0.5385995272684979,0.026878453667550546,0.0712515453497569,0.009223268244361735,0.467347981918741
90,0.5385741521546874,0.026880868764268692,0.071273739139239,0.00923215105988702,0.4673004130154484
91,0.5385494396826367,0.026883799669482514,0.07130149066448213,0.009241609396021477,0.4672479490181546
92,0.538525934020678,0.026886851227653247,0.07133113225301106,0.00925157878782887,0.467194801767667
93,0.5385048671821018,0.02689085562225781,0.07136031091213228,0.009261566369156,0.4671445562699695
94,0.5384860627445172,0.02689595232937097,0.07138753414154053,0.009272009962783916,0.4670985286029766
95,0.5384683907032011,0.026902378118944442,0.07141031106313069,0.009283117312252747,0.4670580796400704
96,0.5384509251625453,0.026910080213197945,0.07142797887325286,0.009294040874279184,0.4670229462892925
97,0.5384322490405152,0.026918912908961246,0.07144097705682119,0.009304848817411811,0.46699127198369406
98,0.5384119560505138,0.02692911073125544,0.07145027359326682,0.009315812187704095,0.466961682457247
99,0.5383900936554981,0.026941057329108686,0.07145780324935912,0.009327430317148167,0.46693229040613893
100,0.5383655826250712,0.026953764125032847,0.07146497984727225,0.009338265143924511,0.46690060277779893
101,0.5383402850524878,0.02696766219809567,0.07147357602914174,0.009347837344047611,0.46686670902334604
102,0.5383140143972854,0.026981761823582008,0.0714852315187454,0.009357218542458494,0.46682878287854
103,0.5382884518231874,0.02699755014335619,0.0714991460243861,0.00936561362470516,0.4667893057988013
104,0.5382642286979125,0.027014427974260406,0.07151520133018491,0.009372059819631502,0.46674902736772755
105,0.53824095280818,0.027032198141176935,0.07153185625871022,0.00937666761471518,0.46670909654946974
106,0.5382180727190444,0.027052287227404805,0.07154905498027798,0.00937986544970937,0.46666901773876646
107,0.5381954454897361,0.027074531727675294,0.07156680881977084,0.00938211399667974,0.46662863666996524
108,0.5381740879865342,0.02709849974581293,0.07158469140529636,0.00938424594678281,0.4665893965812379
109,0.5381549673131955,0.02712190325678295,0.07160187184810636,0.009386185609086922,0.4665530954650891
110,0.5381385703329685,0.027143276456255458,0.07161720335483551,0.009387276839079329,0.466521366978133
111,0.5381241273364905,0.027162865593976418,0.07162849724292757,0.009387328183092552,0.46649563009356293
112,0.5381113024957385,0.027180956697366122,0.07163510084152218,0.00938821278179028,0.46647620165421627
113,0.5380996861207632,0.02719706947835328,0.07163772265116371,0.00939208648202871,0.4664619634695995
114,0.5380870111194659,0.027212319149642526,0.07163688381512962,0.009398696737323867,0.46645012730433627
115,0.5380745113447863,0.027226553237752995,0.07163374582926432,0.009407691804009204,0.46644076551552205
116,0.5380619409275644,0.027239998406639016,0.07163013796011607,0.009420099783447114,0.46643180296744835
117,0.538050257773311,0.02725334249313398,0.07162701487541194,0.009434586302259318,0.466423242897899
118,0.5380401721707101,0.027266311680732097,0.0716248228152593,0.009449789897134705,0.4664153493554508
119,0.538031897703071,0.02727872441795048,0.07162558952967324,0.009464335935091349,0.4664063081733978
120,0.5380249801609251,0.027289920656128556,0.07162948250770572,0.009478392037734996,0.4663954976532194
121,0.5380182970821122,0.027299761805344498,0.07163762251536049,0.00948998266186401,0.46638067456675175
122,0.5380130927135917,0.027308400814786256,0.07164889216423036,0.009498169014839039,0.4663642005493613
123,0.538009224206577,0.027317162907617175,0.07166250189145404,0.009503151379705924,0.466346722315123
124,0.5380062047898032,0.027325704817000064,0.07167671938737233,0.009505926214092358,0.4663294854024309
125,0.5380032751479268,0.027333787835116957,0.07169054210186006,0.009507695183836658,0.46631273304606674
126,0.5379995305413086,0.027340825815565503,0.07170238574345907,0.009508185428171433,0.4662971447978495
127,0.5379956035334386,0.027346529569228138,0.07171028991540272,0.009508514608279173,0.4662853136180358
