r,GT_mean,GT_sd,Gen_mean,Gen_sd,AbsDiff_mean_curves
85,0.07137756794691084,0.010126344012552965,0.07122546573479971,0.009204222571069095,0.0001521022121111354
86,0.07135625937838619,0.010129312591727132,0.07122241556644437,0.009206192514652885,0.00013384381194181394
87,0.0713322788109014,0.010132712844461227,0.07122539420922597,0.009210575331575531,0.00010688460167543323
88,0.07130594091650885,0.010136424019492368,0.07123532076676688,0.009216072221987351,7.062014974197617e-05
89,0.0712796430344935,0.010139948309783077,0.0712515453497569,0.009223268244361735,2.8097684736591577e-05
90,0.07125426792068242,0.010142180445898605,0.071273739139239,0.00923215105988702,1.9471218556582626e-05
91,0.0712295554486322,0.010143438983174356,0.07130149066448213,0.009241609396021477,7.193521584993035e-05
92,0.07120604978667368,0.01014434098050602,0.07133113225301106,0.00925157878782887,0.00012508246633738396
93,0.07118498294809719,0.010143770248228936,0.07136031091213228,0.009261566369156,0.00017532796403509077
94,0.07116617851051288,0.01014163886539187,0.07138753414154053,0.009272009962783916,0.0002213556310276532
95,0.07114850646919678,0.010137326021222593,0.07141031106313069,0.009283117312252747,0.0002618045939339064
96,0.07113104092854038,0.010131028737922338,0.07142797887325286,0.009294040874279184,0.0002969379447124859
97,0.07111236480651079,0.010123271694939564,0.07144097705682119,0.009304848817411811,0.0003286122503104033
98,0.07109207181650913,0.010113839310092814,0.07145027359326682,0.009315812187704095,0.0003582017767576884
99,0.07107020942149338,0.010102618155435273,0.07145780324935912,0.009327430317148167,0.0003875938278657398
100,0.07104569839106667,0.010090975281088727,0.07146497984727225,0.009338265143924511,0.00041928145620558077
101,0.07102040081848335,0.010078621360806504,0.07147357602914174,0.009347837344047611,0.0004531752106583936
102,0.07099413016328109,0.010066406586159414,0.0714852315187454,0.009357218542458494,0.0004911013554643184
103,0.07096856758918292,0.010052865253955956,0.0714991460243861,0.00936561362470516,0.0005305784352031828
104,0.0709443444639076,0.010038746539932798,0.07151520133018491,0.009372059819631502,0.0005708568662773084
105,0.0709210685741754,0.010024207626748452,0.07153185625871022,0.00937666761471518,0.0006107876845348192
106,0.07089818848503958,0.01000779209959637,0.07154905498027798,0.00937986544970937,0.0006508664952384058
107,0.07087556125573172,0.009989861140955975,0.07156680881977084,0.00938211399667974,0.0006912475640391269
108,0.07085420375252946,0.009971159642385308,0.07158469140529636,0.00938424594678281,0.000730487652766898
109,0.0708350830791909,0.009953888314189703,0.07160187184810636,0.009386185609086922,0.0007667887689154634
110,0.07081868609896412,0.009939352696680002,0.07161720335483551,0.009387276839079329,0.0007985172558713921
111,0.07080424310248572,0.00992716929923668,0.07162849724292757,0.009387328183092552,0.0008242541404418491
112,0.07079141826173406,0.009917319625247225,0.07163510084152218,0.00938821278179028,0.0008436825797881187
113,0.07077980188675867,0.00991027414868962,0.07163772265116371,0.00939208648202871,0.0008579207644050374
114,0.0707671268854612,0.009904680524589352,0.07163688381512962,0.009398696737323867,0.000869756929668411
115,0.07075462711078147,0.0099005985198294,0.07163374582926432,0.009407691804009204,0.0008791187184828547
116,0.0707420566935598,0.009897695963654597,0.07163013796011607,0.009420099783447114,0.0008880812665562621
117,0.0707303735393065,0.009895263588753775,0.07162701487541194,0.009434586302259318,0.0008966413361054387
118,0.07072028793670508,0.009893541985295053,0.0716248228152593,0.009449789897134705,0.000904534878554214
119,0.0707120134690661,0.009892249362835016,0.07162558952967324,0.009464335935091349,0.0009135760606071436
120,0.07070509592692058,0.009891980821768257,0.07162948250770572,0.009478392037734996,0.0009243865807851415
121,0.07069841284810763,0.009892803954283026,0.07163762251536049,0.00948998266186401,0.0009392096672528605
122,0.07069320847958692,0.009894026858486395,0.07164889216423036,0.009498169014839039,0.000955683684643438
123,0.07068933997257255,0.0098941387734373,0.07166250189145404,0.009503151379705924,0.000973161918881485
124,0.0706863205557988,0.009893609705052023,0.07167671938737233,0.009505926214092358,0.0009903988315735218
125,0.07068339091392209,0.009892069840405917,0.07169054210186006,0.009507695183836658,0.0010071511879379685
126,0.07067964630730351,0.009890278897257259,0.07170238574345907,0.009508185428171433,0.0010227394361555509
127,0.07067571929943414,0.009887953901625206,0.07171028991540272,0.009508514608279173,0.0010345706159685802
